IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.247.116,443,443,true,FRA,Europe,Frankfurt,306,8.82
143.47.182.160,443,443,true,FRA,Europe,Frankfurt,208,8.80
138.2.135.224,443,443,true,FRA,Europe,Frankfurt,324,8.80
158.101.212.204,443,443,true,FRA,Europe,Frankfurt,291,8.79
129.146.175.160,443,443,true,LAX,North America,Los Angeles,224,8.78
158.180.43.153,443,443,true,FRA,Europe,Frankfurt,264,8.76
130.162.175.79,443,443,true,FRA,Europe,Frankfurt,335,8.73
158.180.42.86,443,443,true,FRA,Europe,Frankfurt,315,8.72
79.72.84.150,443,443,true,FRA,Europe,Frankfurt,427,8.69
158.178.157.182,443,443,true,FRA,Europe,Frankfurt,293,8.66
141.148.234.1,443,443,true,FRA,Europe,Frankfurt,248,8.65
152.70.186.19,443,443,true,FRA,Europe,Frankfurt,257,8.62
130.162.182.135,443,443,true,FRA,Europe,Frankfurt,258,8.59
152.70.62.60,443,443,true,FRA,Europe,Frankfurt,328,8.51
141.148.242.189,443,443,true,FRA,Europe,Frankfurt,251,8.50
192.9.137.193,8443,443,true,SJC,North America,San Jose,529,8.49
141.147.19.166,443,443,true,FRA,Europe,Frankfurt,301,8.47
79.72.87.61,443,443,true,FRA,Europe,Frankfurt,400,8.45
141.147.5.36,443,443,true,FRA,Europe,Frankfurt,283,8.43
144.21.49.69,443,443,true,FRA,Europe,Frankfurt,279,8.37
143.47.230.134,443,443,true,FRA,Europe,Frankfurt,228,8.29
150.230.115.49,443,443,true,FRA,Europe,Frankfurt,330,8.25
158.179.206.143,443,443,true,ARN,Europe,Stockholm,298,8.25
138.2.180.176,443,443,true,FRA,Europe,Frankfurt,388,8.25
141.147.100.202,443,443,true,FRA,Europe,Frankfurt,310,8.21
144.21.58.213,443,443,true,FRA,Europe,Frankfurt,241,8.21
158.178.158.105,443,443,true,FRA,Europe,Frankfurt,298,8.15
131.186.22.123,443,443,true,ICN,Asia Pacific,Seoul,250,8.14
132.145.10.18,443,443,true,FRA,Europe,Frankfurt,310,8.08
141.147.98.82,443,443,true,FRA,Europe,Frankfurt,280,8.07
158.101.202.251,443,443,true,FRA,Europe,Frankfurt,347,8.05
84.235.162.144,443,443,true,FRA,Europe,Frankfurt,236,8.03
141.147.108.86,443,443,true,FRA,Europe,Frankfurt,431,8.00
84.235.172.3,443,443,true,FRA,Europe,Frankfurt,431,7.99
141.147.7.170,443,443,true,FRA,Europe,Frankfurt,332,7.98
144.24.78.162,443,443,true,ICN,Asia Pacific,Seoul,304,7.97
143.47.235.184,443,443,true,FRA,Europe,Frankfurt,281,7.96
130.162.179.115,443,443,true,FRA,Europe,Frankfurt,300,7.96
138.2.153.20,443,443,true,FRA,Europe,Frankfurt,239,7.95
143.47.245.162,443,443,true,FRA,Europe,Frankfurt,185,7.90
158.101.210.139,443,443,true,FRA,Europe,Frankfurt,296,7.90
158.178.159.129,443,443,true,FRA,Europe,Frankfurt,395,7.76
192.9.158.188,443,443,true,SJC,North America,San Jose,313,7.71
84.8.154.52,443,443,true,FRA,Europe,Frankfurt,175,7.68
89.168.66.96,443,443,true,FRA,Europe,Frankfurt,190,7.64
158.180.41.161,443,443,true,FRA,Europe,Frankfurt,313,7.63
130.61.181.61,2096,443,true,FRA,Europe,Frankfurt,216,7.59
141.144.197.120,443,443,true,FRA,Europe,Frankfurt,216,7.54
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,254,7.49
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,179,7.48
158.180.28.193,443,443,true,FRA,Europe,Frankfurt,385,7.41
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,206,7.37
141.147.56.135,443,443,true,FRA,Europe,Frankfurt,254,7.34
144.24.167.194,443,443,true,FRA,Europe,Frankfurt,380,7.20
141.147.9.190,443,443,true,FRA,Europe,Frankfurt,230,7.18
164.152.26.70,2086,443,true,ORD,North America,Chicago,209,7.12
140.238.120.118,443,443,true,FRA,Europe,Frankfurt,342,7.11
68.233.127.163,8443,443,true,YUL,North America,Montréal,489,7.07
84.235.175.252,443,443,true,FRA,Europe,Frankfurt,437,7.07
141.147.0.209,443,443,true,FRA,Europe,Frankfurt,232,7.06
150.230.116.1,443,443,true,FRA,Europe,Frankfurt,207,7.06
141.144.231.184,443,443,true,FRA,Europe,Frankfurt,214,7.04
141.147.103.207,443,443,true,FRA,Europe,Frankfurt,270,7.03
143.47.225.101,443,443,true,FRA,Europe,Frankfurt,218,7.02
141.147.61.90,443,443,true,FRA,Europe,Frankfurt,250,7.01
89.168.86.212,443,443,true,FRA,Europe,Frankfurt,219,6.99
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,256,6.98
158.180.12.248,443,443,true,FRA,Europe,Frankfurt,318,6.95
84.8.145.175,443,443,true,FRA,Europe,Frankfurt,176,6.92
141.147.102.165,443,443,true,FRA,Europe,Frankfurt,190,6.92
150.230.121.46,443,443,true,FRA,Europe,Frankfurt,261,6.89
40.233.70.7,8443,443,true,YYZ,North America,Toronto,298,6.85
129.146.248.140,443,443,true,LAX,North America,Los Angeles,296,6.76
141.147.62.159,443,443,true,FRA,Europe,Frankfurt,214,6.76
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,179,6.70
143.47.224.181,443,443,true,FRA,Europe,Frankfurt,169,6.65
129.151.198.3,8443,443,true,ARN,Europe,Stockholm,367,6.60
141.147.163.68,443,443,true,NRT,Asia Pacific,Tokyo,196,6.59
141.147.78.156,443,443,true,FRA,Europe,Frankfurt,300,6.58
144.24.173.182,443,443,true,FRA,Europe,Frankfurt,286,6.52
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,243,6.52
141.147.81.53,443,443,true,FRA,Europe,Frankfurt,285,6.49
141.147.95.169,443,443,true,FRA,Europe,Frankfurt,303,6.46
