IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
183.236.51.57,25600,TRUE,HKG,HK,Asia Pacific,Hong Kong,9808,"China Mobile Communications Group Co., Ltd.",490,9.34
183.94.30.165,27431,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,230,9.00
2408:864e:c03:1c:1::30:165,25975,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,263,8.17
157.254.33.94,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,272082,JARM TELECOMUNICACIONES SRL,147,7.84
163.177.58.169,25286,TRUE,HKG,HK,Asia Pacific,Hong Kong,17623,China Unicom Shenzen network,138,6.81
222.237.101.115,21328,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,280,6.04
14.119.112.77,12496,TRUE,HKG,HK,Asia Pacific,Hong Kong,4134,Chinanet,123,5.40
39.120.102.137,21299,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,291,5.10
183.236.51.57,30578,TRUE,HKG,HK,Asia Pacific,Hong Kong,9808,"China Mobile Communications Group Co., Ltd.",191,4.83
183.94.30.165,26222,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,267,4.79
183.94.30.165,25975,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,280,4.73
101.32.39.249,2615,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",204,3.64
185.106.176.139,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,42960,VH Global Limited,192,3.02
123.215.77.200,10244,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,412,2.69
154.91.196.46,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,42960,VH Global Limited,240,2.45
118.140.166.215,10002,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,537,2.38
180.71.205.236,26257,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,332,2.37
103.214.174.93,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,42960,VH Global Limited,180,2.26
206.237.28.8,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,55933,Cloudie Limited,242,2.08
183.94.30.165,26242,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,211,1.73
14.119.112.77,12496,TRUE,HKG,HK,Asia Pacific,Hong Kong,4134,Chinanet,116,1.72
124.156.149.27,18556,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",178,1.50
101.32.10.244,10457,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",174,1.14
114.205.18.189,25647,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,336,1.05
38.106.23.161,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,55799,IPTELECOM ASIA,940,1.05
183.94.30.165,26242,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,211,1.02
183.94.30.165,27267,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,392,0.83
43.154.200.160,20047,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",158,0.81
47.76.100.62,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",141,0.76
116.204.210.10,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,132883,TOPWAY GLOBAL LIMITED,185,0.68
138.19.30.55,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,9269,Hong Kong Broadband Network Ltd.,249,0.68
